,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.6,0.2219271469271469,0.13333333333333333,0.7024114774114775,0.2219271469271469,1.0,0.7024114774114775,0.1475986975986976,0.1475986975986976,0.11666666666666665,0.39999999999999997,0.06791517661082878,12.0,2.6666666666666665,1.5,21.5
7,10-Nebraska-voting-rights_avg,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.625,0.25,0.30043290043290044,6.0,5.0,3.6666666666666665,11.666666666666666
11,11-Nebraska-felons-crim-justice_avg,0.75,0.8166666666666667,0.6125,0.7166666666666666,0.5833333333333333,0.7147435897435898,0.7166666666666666,0.5,0.7,0.4375,0.25,0.047619047619047616,15.0,9.75,1.0,21.0
16,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7261904761904763,2.0,0.0,5.333333333333333,7.333333333333333
20,13-pilot-curb-evictions_avg,0.9047619047619048,0.5256410256410255,0.4761904761904762,0.49786324786324787,0.49786324786324787,0.9444444444444445,0.49786324786324787,0.576923076923077,0.576923076923077,0.0,0.09523809523809523,0.35353535353535354,12.666666666666666,6.333333333333333,7.666666666666667,21.666666666666668
24,14-many-police-calls_avg,0.7304347826086955,0.9057189542483659,0.6608695652173914,0.4519607843137255,0.4401960784313726,0.4883333333333333,0.7184640522875817,0.40915032679738567,0.6588235294117647,0.2782608695652174,0.26956521739130435,0.2565149408433613,16.8,14.0,8.0,31.0
30,15-Newsom-declares-emergency_avg,0.8666666666666667,0.923076923076923,0.8000000000000002,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.25641025641025644,0.4102564102564103,0.4000000000000001,0.13333333333333333,0.2619047619047619,13.0,11.0,5.333333333333333,20.333333333333332
34,16-America's-Sleeping-Giant_avg,0.6923076923076923,0.9165584415584416,0.6346153846153847,0.7643668831168832,0.7393668831168831,0.8118055555555556,0.7643668831168832,0.08969155844155843,0.2043831168831169,0.28846153846153844,0.3076923076923077,0.27321771099744246,9.0,6.75,5.25,18.25
39,17-homelessness-santa-clara_avg,0.6,0.75,0.45,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.0,0.0,0.25,0.4000000000000001,0.015873015873015872,12.0,7.0,0.3333333333333333,20.333333333333332
43,18-wyoming-primary-dems_avg,0.6923076923076923,0.8016666666666667,0.5538461538461539,0.8216666666666667,0.8016666666666667,1.0,0.71,0.41,0.41,0.4615384615384615,0.3076923076923077,0.17666666666666667,9.0,7.2,2.8,15.8
49,19-oakland-sues-SW-airlines_avg,0.5694444444444444,0.9067460317460317,0.513888888888889,0.5674603174603174,0.5674603174603174,0.6238095238095238,0.5674603174603174,0.07638888888888888,0.10416666666666664,0.13888888888888887,0.4305555555555555,0.05128205128205129,6.833333333333333,3.8333333333333335,0.6666666666666666,12.666666666666666
56,2-Best-DDR-player_avg,0.5238095238095238,0.9090909090909091,0.4761904761904761,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.38095238095238093,0.4761904761904761,0.07196969696969698,11.0,10.0,1.6666666666666667,22.666666666666668
60,20-bill-easier-access_avg,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.0,0.25,0.375,0.25,0.1111111111111111,6.0,5.0,1.0,9.0
65,21-trump-kamala-mispronounce_avg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6321428571428571,3.0,3.0,5.333333333333333,8.333333333333334
69,22-Judge-rules-breona-taylor_avg,0.7291666666666666,0.8308080808080809,0.6041666666666666,0.8005050505050506,0.7146464646464645,0.8629629629629628,0.8863636363636364,0.4292929292929293,0.6010101010101011,0.4375,0.2708333333333333,0.18596491228070175,11.666666666666666,9.0,3.6666666666666665,19.666666666666668
73,23-black-landowners-11mins_avg,0.625,0.7166666666666666,0.45,0.6155555555555556,0.6155555555555556,0.8575396825396826,0.6155555555555556,0.3244444444444444,0.4055555555555556,0.325,0.375,0.1636424394319131,10.0,5.6,3.2,19.2
79,24-what-happens-to-migrants_avg,0.6590909090909092,0.96875,0.6363636363636364,0.8303571428571428,0.8303571428571428,0.8571428571428571,0.8303571428571428,0.03125,0.8616071428571428,0.5454545454545454,0.3409090909090909,0.45534722222222224,7.25,6.0,10.0,21.0
84,25-ballot-access-trans_avg,0.5315315315315315,0.8640350877192983,0.4594594594594595,0.8982456140350877,0.830701754385965,0.9618736383442266,0.8982456140350877,0.3552631578947369,0.4412280701754386,0.3963963963963964,0.4684684684684685,0.19727119216480918,19.666666666666668,16.333333333333332,9.333333333333334,46.333333333333336
88,26-biden-harris-11M_avg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.8125,1.0,1.0,4.5,5.5
93,27-general-assembly-landlords_avg,0.6029411764705882,0.9286616161616161,0.5588235294117647,0.7304292929292928,0.7304292929292928,0.786489898989899,0.5233585858585859,0.3251262626262626,0.3251262626262626,0.23529411764705882,0.3970588235294118,0.13775062656641604,10.25,7.5,2.75,19.75
